slug,Project Name,Project Name EN,Display,Featured,year,Project Type,Category,Portfolio Category,Domain,Core Engine,Hardware & Sensors,Programming Languages & Frameworks,Artist/Collaborator,Role,RoleCN,Timeline,Company,Overview,OverviewCN,Achievements,TechDetails,Technologies,Exhibition,Publication,Cover
dayin-heming,大音和鸣,Dayin Heming,true,true,2026,Commercial Production,Interactive Installation,AIGC,"LBE(Location-based Entertainment), Exhibition & Gallery, AIGC",Unity,2D LiDar,c#,Relight,Creative Technologist,,2026-06-25 - 2026-07-10,,「大音和鸣」为歌华音乐主题展厅互动项目。本人负责交互软件侧交付，并参与多展项交互系统整体方案。两个自研展项均为全程 AI 辅助制作：琵琶行——以交互设计文档为 AI 生图 prompt 起点，生成/扩图视觉资产，AI 辅助推进 Unity 触控揭示体验（触摸荡开国画露出诗句与翻译）；百鸟朝凤——薄设计输入下，AI 出鸟形象 → AI 生飞行循环视频 → 转游戏序列帧，并用 AI 辅助 Editor 工具自动导入 sprite/Prefab，落地为可运行交互墙（触发 → 鸟群 → 飞向凤凰）。官网：https://mp.weixin.qq.com/s/nLhAo2VSy-oaNpYiIGdVLw,,,,2D LiDar|AI 生图/生视频→序列帧；提示词规范与生成标准；AI 辅助 Unity Editor 导入工具；Python + 本地 Web 书法标注→Unity 数据导入,独立展览,,
echuu,Echuu,Echuu,true,true,2026,Commercial (Fast-track),,AIGC,AIGC,three.js,RGB Camera,JavaScript,Cory,Creative Technologist,,2026-03-25,,Echuu 是将虚拟角色转化为可直播、可变现的 AI VTuber Web 平台：用户上传 3D 角色模型、配置角色设定后即可自动直播互动，并可推流至 YouTube / Twitch 等。本人负责商业前端侧交付：优化 onboarding 与角色/素材加载（角色首次可见约 4.4s → 0.7s），提升交互与动画流畅度；参与前后端打通与联调，保障页面与接口协同可用。官网：https://www.echuu.ai/,,,,RGB Camera,,,cover.png
journey-immortals-painting,寻仙记 · 万仙图,,false,false,2022,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),,"IP Camera, IR Pass Filters",,,,,,,• 2组，每组由一台渲染服务器+3台海康威视网络摄像头（配红外滤片）+网络声卡支持的3通道输出音效+带红外灯珠的道具组成，实现交互灯笼可控制屏幕上的光斑移动     ◦ 涉及插件：         ▪ 锐爷友情赞助的海康威视插件         ▪ Low-latency Multichannel Audio,,,,IP Camera|IR Pass Filters|- Infrared blob detection via hardware-filtered CV pipeline,,,
journey-immortals-dance,寻仙记 · 仙舞,,false,false,2022,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),,Azure Kinect,,,,,,,• 6路系统，每路由一台渲染服务器+一对usb转光纤盒连接2台kinect+网络声卡支持的双通道输出音效，实现简单的人体交互粒子效果     ◦ 涉及插件：         ▪ Unity的Kinect插件         ▪ Low-latency Multichannel Audio,,,,Azure Kinect|azure kinect体感互动,,,
journey-immortals-spirit,寻仙记 · 仙灵,,false,false,2022,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),,"IP Camera, IR Pass Filters",,,,,,,• 一台渲染服务器+3台海康威视网络摄像头（配红外滤片）+网络声卡支持的3通道输出音效+带红外灯珠的道具组成，实现检测识别道具画出的图案（最后挥一下就可以）触发视频     ◦ 涉及插件         ▪ p-dollar         ▪ Low-latency Multichannel Audio,,,,IP Camera|IR Pass Filters|- Infrared blob detection via hardware-filtered CV pipeline,,,
cat-give-me-five,猫喵妙 · Give me five,,false,false,2023,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),Unity,Addressable LED,c#,,Creative Technologist,,,,,,,,Addressable LED,,,
cat-paint-bucket,猫喵妙 · 谁打翻了油漆桶,,false,false,2023,Commercial Production,,Exhibitions · Art & Performances,"LBE(Location-based Entertainment), Immersive Experience",Unity,2D LiDar,c#,,Creative Technologist,,,,,,,,2D LiDar|Floor-based multi-user interaction using 2D LiDAR,,,
cat-catwalk,猫喵妙 · Catwalk,,false,false,2023,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),Unity,,c#,,Creative Technologist,,,,,,,,,,,
cat-liquid-cup,猫喵妙 · 液体猫咪杯,,false,false,2023,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),Unity,Industrial Encoder (USB/Serial),c#,,Creative Technologist,,,,,,,,Industrial Encoder (USB/Serial),,,
cat-training-program,猫喵妙 · 铲屎官培养计划,,false,false,2023,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),"Unity, Arduino",ESP32 (Battery-managed),c#,,Creative Technologist,,,,,,,,ESP32 (Battery-managed)|CAD Modeling (Inventor)|Mechanical Design|Sensor Fusion|Wireless Data Sync (OSC/UDP),,,
1001-nights-seed,1001 Nights (Seed Stage),,false,false,2023,,,Game,AIGC,"Unity, LLM",,"c#, GLSL",,Core Technical Developer,,,,,,,,,,,
auto-radar-interactive,汽车展厅2D雷达互动,,false,false,2025,Commercial (Fast-track),,Exhibitions · Art & Performances,"LBE(Location-based Entertainment), Digital Marketing",Unity,2D LiDar,c#,,Creative Technologist,,,,针对汽车展厅设计的2D雷达感应交互装置。实现用户步入展厅时，3D虚拟数字人实时跟随其行动轨迹；并支持用户与展厅品牌Logo进行位置感应互动,,,,2D LiDar,,,
vj-project,The Either巡演《终末之诗》VJ,,true,true,2024,Commercial (Fast-track),,Exhibitions · Art & Performances,Performance,Unity,,c#,Relight Studio,Creative Technologist,,,,,,,,,,,
xixi,XiXi,,true,false,2025,Prototype / MVP,,AIGC,"Digital Marketing, AIGC","Unity, Dify",,c#,XTENDED iDENTiTY,Creative Technology Consultant,,,,基于 Dify 平台构建的 AIGC 智能对话助手，并集成至 Unity 移动端应用。实现了手机端语音识别（ASR/Transcribe）、语义理解与文本生成的完整闭环，通过实时 TTS 技术为用户提供流畅的语音交互体验。,,,,,,,,cover.png
vr-diving,深海奇境（VR沉浸式体验）,,true,false,2025,Commercial (Fast-track),,Exhibitions · Art & Performances,Research,Unity,Pico,c#,某科研机构 (Research),Technical Lead,,,,,,,,Pico,,,
cat-interactive-space,猫喵妙互动空间（整体）,,false,false,2023,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),Unity,"2D LiDar, RGB Camera","c#, GLSL",,Technical Director,,,,《猫喵妙互动空间》是新剧元工作室的原创交互艺术展览。 • 负责展览整体技术方案的规划、参与交互展项的开发与落实 • 现场安装与调试交互设备及软件,,,,2D LiDar|RGB Camera,,,
hyborg-agency,Hyborg Agency,Hyborg Agency,true,true,2023,Research,,AIGC,"Research, AIGC","Needle, Unity, Vue.js",,"c#, JavaScript",孙羽茜,Creative Technologist,,,,Hyborg（Hybrid + Agent）意指一种混合型智能生命体，用来隐喻在真实世界中游走的非人类 AI Agent。项目以 Discord 社群中的 AI 聊天机器人为基础，探讨在人类群体内部发生的交流，是否能够滋养这些非人类 AI Agent，使其逐渐成为社会关系中的一员，并进一步讨论人类与 AI 在社会语境下可能形成的关系。,,,,,SIGGRAPH 2023 Art Gallery Los Angeles,cgi-2025-hyborg-agency,
tianmu-dream,梦游天姥吟留别,,true,false,2018,,,Exhibitions · Art & Performances,Exhibition & Gallery,Processing,Kinect V2,Java,孙羽茜、徐楚燕,Creative Technologist,,,,作品灵感来源于诗人李白的名作《梦游天姥吟留别》，我们尝试通过沉浸式的交互体验，将观众带入镜花水月的梦。我负责了体感交互方式的设计与实现，并参与了算法设计和部分视觉效果设计。,,,,Kinect V2,,,
ai-map,人工智能地图,,true,false,2018,,,AIGC,"AIGC, Exhibition & Gallery",Processing,,Java,邱志杰,Creative Technologist,,,,,,,,,,,
exhibition-booth,某集团展会展位,,false,false,2019,Commercial Production,,Exhibitions · Art & Performances,"Digital Marketing, Immersive Experience, LBE(Location-based Entertainment)",Unity,"RGB Camera, 2D LiDar",c#,,Technical Lead,,,,该项目是集团内部一个由 12 台投影组成的沉浸式展厅。 • 负责使用 Unity 实现以交互程序的形式呈现的内容，并实现将 Unity 内容合并到 Hecoos 视控时间线中 • 按需求实现交互硬件系统，包括 Leap Motion，雷达，Arduino 设备，实现对各个设备的数据采集和控制 • 按需求实现 Unity 与 Hecoos 的通信，从而实现视频和交互内容的衔接 • 在现场监督与落实设备安装，保证系统正常落地和运转,,,,RGB Camera|2D LiDar,,,
mother-gyro,母陀螺,,true,false,2019,,,Exhibitions · Art & Performances,Performance,"Unity, Processing",RGB Camera,"c#, Java",任冬生,Creative Technologist,,,,"《母陀螺》是北京舞蹈学院任冬生工作坊""Border · 界""的节目之一，我在其中负责了部分交互图形程序的实现，参与搭建了交互舞蹈节目的技术工作流。",,,,RGB Camera,,,
swords-west-river,西河剑器,,true,true,2019,Commercial Production,,Exhibitions · Art & Performances,"LBE(Location-based Entertainment), Immersive Experience, Exhibition & Gallery, Performance","Unity, Processing","RealSense, 2D LiDar","c#, Java",,Creative Technologist,,,,《西河剑器》是国家大剧院展览《一同走过——新中国舞蹈艺术70年》的交互表演节目，此外还有供观众体验的交互展区。我负责了实时交互系统的总体设计、实现及技术指导，负责了项目的现场测试和落地。,,,,RealSense|2D LiDar,,,
quancheng-memory,泉城记忆,,true,false,2020,Commercial Production,,Exhibitions · Art & Performances,Performance,Unity,"Kinect V2, 2D LiDar",c#,济南杂技团,Technical Lead,,,,,,,,Kinect V2|2D LiDar,,,
corporate-exhibition,某国企企业展厅,,false,false,2020,Commercial Production,,Exhibitions · Art & Performances,"Digital Marketing, LBE(Location-based Entertainment), Immersive Experience",Unity,"2D LiDar, Leap Motion",c#,,Technical Lead,,,,,,,,2D LiDar|Leap Motion,,,
music-realm,乐·界,,true,false,2020,Commercial Production,,Exhibitions · Art & Performances,Performance,"Notch, Unity",,c#,中国东方歌舞团,Technical Lead,,,,• 使用 Notch制作音画互动特效 • 通过Notch 时间线编排和 Unity 编写视控程序互相配合，实现了交互效果的控制，将交互节目融入到现有舞台效果控制中。,,,,,,,
parallel,平行,,true,false,2021,Prototype / MVP,,Exhibitions · Art & Performances,Performance,Unity,RealSense,c#,,Technical Lead,,,,,,,,RealSense,,3ca740a32c98821a2848a3378b6946c.jpg,
humans-space-time,人间、空间、时间和人,,true,true,2021,,,Exhibitions · Art & Performances,Exhibition & Gallery,Unity,RGB Camera,c#,任冬生,Technical Lead,,,,该装置是北京当代艺博会上的交互数字装置。我负责设计整体系统架构，监督技术开发与落地，并负责实现 Unity 视效与网络接口。,,,,RGB Camera,北京当代艺博会,d0872c23-29f3-4987-8c7c-d376929721cb.jpg,
dance-shadows,舞影随形,,true,true,2021,,,Exhibitions · Art & Performances,Digital Marketing,Notch,BlackTrax,c#,松下中国经销商,Technical Lead,,,,• 参与制作 Notch 特效，监督技术团队进行 Notch 内容制作 • 根据设计方案，负责监督并制作了 3 分钟时长的表演内容及 2 个观众互动内容 • 与硬件方沟通，确保 BlackTrax 在交互表演中稳定实现动作捕捉,,,,BlackTrax,infocomm,,
autumn-wind-nanyuan,南苑秋风,,true,true,2021,,,Exhibitions · Art & Performances,Performance,"Unity, Notch",Azure Kinect,c#,中国东方歌舞团,Technical Director,,,,《南苑秋风》是由中国歌剧舞剧院出品的多媒体交互舞剧。 • 负责设计并落实交互效果所需的技术方案 • 负责使用 Notch 按照设计需求实现美术效果，并指导团队成员进行制作 • 负责使用 Unity 编写中控程序，通过 OSC 实现 Hecoos 和 Unity 和 Notch 的联动 • 负责现场设备安装部署，并和舞台相关人员协调以保证交互效果的完整呈现,,,,Azure Kinect|Multi-node OSC network synchronizing Notch,,,
journey-immortals,寻仙记（整体）,,true,false,2022,Commercial Production,,Exhibitions · Art & Performances,LBE(Location-based Entertainment),Unity,,c#,山水集团,Technical Director,,,,- 根据交互设计需求，制定交互项目技术方案，设计交互软件系统（包括中控服务、设备状态监视程序等） • 负责技术选型与前期硬件测试，涉及网络摄像头、红外识别技术、基于Azure Kinect的动作捕捉等 • 与三维外包沟通美术资产的制作要求，审核美术资产 • 带领 3~5 人团队，负责监督并参与 Unity 交互内容开发，管理制作进度 • 负责现场安装与调试交互设备与软件，及时解决问题保证项目顺利落地,,,,• 用p-dollar插件实现2D点轨迹图案的识别 • Low-latency Multichannel Audio插件实现多通道音频播放（配合Dante Virtual Soundcard 网络虚拟声卡）     ◦ 使用网络声卡时，需要多配一个网卡接入音响网络 • 用锐爷友情赞助的海康威视插件连接了多个网络摄像头（本次最高负载为一拖三） • 用Magica Cloth插件实现实时的布料模拟 • kinect实现识别人摆出的特定动作,,,
consciousness-antibody-2022,意识抗体2022,,false,false,2022,,,Exhibitions · Art & Performances,Performance,Notch,Azure Kinect,c#,爱默杨,Creative Technologist,,,,,,,,Azure Kinect|Azure Kinect skeleton tracking pipeline feeding real-time data into Notch for biofeedback visuals,,,
dragon-boat-zongzi,端午节交互粽子DEMO,,false,false,2022,,,Exhibitions · Art & Performances,,"three.js, Vue.js",,JavaScript,新剧元工作室,Creative Technologist,,,,,,,,,,,
ai-nushu,AI Nüshu,AI Nüshu,true,true,2023,Research,,AIGC,"Research, AIGC, Exhibition & Gallery",Unity,RGB Camera,c#,孙羽茜,Creative Technologist,,,,AI Nüshu 是一个受女书启发而形成的涌现式语言系统。项目以互动装置的形式展开，训练两个 AI 智能体学习中文词典与女书语料，并通过持续观察环境与彼此交流，共同发展出一套用于编码中文的书写系统。作品从计算语言学视角，对一种非西方文字系统的生成方式进行了艺术化诠释，同时将 AI 技术、中国文化遗产与女性主义视角结合在一起。,,,,RGB Camera,SIGGRAPH Asia 2023 Art Gallery Sydney,siggraph-asia-2023-ai-nushu,
ethnic-costume-exhibition,某省份民族服饰展厅,,false,false,2023,Commercial Production,,Exhibitions · Art & Performances,"LBE(Location-based Entertainment), Immersive Experience",Unity,Ouster 3D LiDar,c#,新剧元工作室,Technical Lead,,,,,,,,Ouster 3D LiDar,,,
1001-nights,千夜之书1001,,true,true,2025,Commercial Production,AI-native Game,Game,AIGC,"Unity, LLM",,c#,Ada Eden,Creative Developer,,2023-08-01,,,,,,,Gamescom,chi-2025-i-like-your-story,
